Derived Data
Scan,Date/Time,Radiant Flux (Watts),Luminous Flux (lumens),Scotopic Luminous Flux (lm'),Chromaticity x coord,Chromaticity y coord,Chromaticity u coord,Chromaticity v coord,Delta uv,Chromaticity u' coord,Chromaticity v' coord,Peak Wavelength (nm),Center Wavelength (nm),Centroid Wavelength (nm),Dominant Wavelength (nm),Full Width Half Max Bandwidth (nm),Excitation Purity (%),Correlated Color Temperature (deg. K),Luminous Efficacy (lm/W),SDCM,Correlation,Correlation Coeficient,Color Rendering Index Average (RA),Color Rendering Index (R1),Color Rendering Index (R2),Color Rendering Index (R3),Color Rendering Index (R4),Color Rendering Index (R5),Color Rendering Index (R6),Color Rendering Index (R7),Color Rendering Index (R8),Color Rendering Index (R9),Color Rendering Index (R10),Color Rendering Index (R11),Color Rendering Index (R12),Color Rendering Index (R13),Color Rendering Index (R14),Measured DUT Current (A),Measured DUT Voltage (V),
1,11/28/2016 1:23:48 PM,2.762E00,8.767E02,1.737E03,0.3136,0.3301,0.1980,0.3127,0.0032,0.1980,0.4691,448.2,446.0,539.4,489.6,21.2,6.9,6442.0,, Cool White,0.0054,0.000130600245163186,70.127568819615,68.9,72.7,73.9,72.2,70.3,63.5,78.6,61,-29.1,34,70.2,39.9,68.5,85.2,N/A,N/A,
2,11/28/2016 1:23:49 PM,2.761E00,8.760E02,1.737E03,0.3136,0.3301,0.1980,0.3127,0.0033,0.1980,0.4691,447.8,446.0,539.4,489.7,21.2,6.9,6446.0,, Cool White,0.0054,0.000170114229798867,70.1638336076351,68.9,72.8,73.9,72.2,70.3,63.6,78.7,61.1,-29,34,70.2,39.9,68.5,85.2,N/A,N/A,
3,11/28/2016 1:23:50 PM,2.753E00,8.738E02,1.732E03,0.3136,0.3302,0.1980,0.3127,0.0032,0.1980,0.4691,447.9,446.0,539.4,489.6,21.2,6.9,6443.0,, Cool White,0.0054,0.000152013757219623,70.1721670785187,68.9,72.8,73.9,72.2,70.3,63.6,78.7,61,-29.1,34.1,70.2,39.9,68.5,85.2,N/A,N/A,
4,11/28/2016 1:23:51 PM,2.753E00,8.738E02,1.733E03,0.3135,0.3301,0.1980,0.3127,0.0033,0.1980,0.4690,448.2,446.0,539.3,489.6,21.3,6.9,6447.0,, Cool White,0.0054,0.000174523851868909,70.1958236261846,68.9,72.8,74,72.2,70.3,63.6,78.7,61.1,-29,34.1,70.2,39.9,68.5,85.2,N/A,N/A,
5,11/28/2016 1:23:51 PM,2.741E00,8.723E02,1.730E03,0.3135,0.3301,0.1980,0.3127,0.0032,0.1980,0.4690,447.9,446.1,538.7,489.6,21.2,6.9,6449.0,, Cool White,0.0054,0.000159806146599879,70.1945455261626,68.9,72.8,74,72.2,70.3,63.6,78.8,61,-29.1,34.2,70.1,40,68.5,85.2,N/A,N/A,
6,11/28/2016 1:23:52 PM,2.740E00,8.703E02,1.727E03,0.3135,0.3301,0.1979,0.3127,0.0033,0.1979,0.4690,447.9,446.1,539.1,489.6,21.3,6.9,6451.0,, Cool White,0.0054,0.000211146253001012,70.2016259886959,68.9,72.8,74,72.2,70.3,63.6,78.8,61.1,-29,34.2,70.1,40,68.5,85.3,N/A,N/A,
7,11/28/2016 1:23:53 PM,2.741E00,8.685E02,1.724E03,0.3135,0.3301,0.1980,0.3127,0.0033,0.1980,0.4690,448.1,446.1,539.6,489.6,21.3,6.9,6451.0,, Cool White,0.0054,0.000177498525503179,70.2336948559488,68.9,72.9,74,72.2,70.3,63.7,78.8,61.1,-28.9,34.3,70.1,40,68.6,85.3,N/A,N/A,
8,11/28/2016 1:23:54 PM,2.726E00,8.657E02,1.719E03,0.3134,0.3300,0.1979,0.3126,0.0033,0.1979,0.4689,447.9,446.1,539.0,489.6,21.3,7.0,6456.0,, Cool White,0.0054,0.000169218730242089,70.2583904870641,68.9,72.9,74,72.3,70.3,63.7,78.8,61.1,-28.8,34.3,70.1,40,68.6,85.3,N/A,N/A,
9,11/28/2016 1:23:54 PM,2.716E00,8.637E02,1.715E03,0.3134,0.3301,0.1979,0.3127,0.0033,0.1979,0.4690,448.0,446.1,538.8,489.6,21.3,6.9,6452.0,, Cool White,0.0054,0.000211327660548043,70.2547945916835,68.9,72.9,74.1,72.2,70.3,63.7,78.9,61.1,-29,34.3,70.1,40,68.6,85.3,N/A,N/A,
10,11/28/2016 1:23:55 PM,2.711E00,8.605E02,1.709E03,0.3135,0.3300,0.1980,0.3127,0.0032,0.1980,0.4690,448.0,446.1,539.2,489.6,21.3,6.9,6452.0,, Cool White,0.0054,0.000156210738023494,70.3059369417723,69,72.9,74.1,72.3,70.4,63.7,78.9,61.2,-28.7,34.4,70.2,40.1,68.7,85.3,N/A,N/A,
11,11/28/2016 1:23:56 PM,2.697E00,8.566E02,1.702E03,0.3134,0.3301,0.1979,0.3127,0.0033,0.1979,0.4690,447.9,446.1,539.1,489.6,21.4,6.9,6452.0,, Cool White,0.0054,0.000215972171515092,70.2921527856872,68.9,72.9,74.1,72.3,70.3,63.7,78.9,61.1,-28.8,34.4,70.1,40,68.6,85.3,N/A,N/A,
12,11/28/2016 1:23:57 PM,2.707E00,8.580E02,1.705E03,0.3134,0.3301,0.1979,0.3127,0.0033,0.1979,0.4690,448.0,446.1,539.3,489.6,21.4,7.0,6457.0,, Cool White,0.0054,0.000238560093870048,70.3007537617199,68.9,72.9,74.1,72.3,70.3,63.8,78.9,61.1,-28.8,34.4,70.1,40.1,68.6,85.3,N/A,N/A,
13,11/28/2016 1:23:58 PM,2.701E00,8.557E02,1.700E03,0.3134,0.3301,0.1979,0.3127,0.0033,0.1979,0.4690,448.0,446.2,539.5,489.6,21.4,7.0,6454.0,, Cool White,0.0054,0.000205544703498335,70.3228845926911,69,73,74.1,72.3,70.3,63.8,78.9,61.2,-28.6,34.5,70.1,40.1,68.7,85.3,N/A,N/A,
14,11/28/2016 1:23:58 PM,2.696E00,8.572E02,1.703E03,0.3134,0.3301,0.1979,0.3127,0.0033,0.1979,0.4690,448.0,446.2,538.9,489.6,21.4,6.9,6454.0,, Cool White,0.0054,0.000195612483161923,70.3149588078691,69,73,74.1,72.3,70.3,63.8,78.9,61.1,-28.7,34.5,70.1,40.1,68.7,85.3,N/A,N/A,
15,11/28/2016 1:23:59 PM,2.694E00,8.537E02,1.698E03,0.3133,0.3300,0.1979,0.3126,0.0033,0.1979,0.4690,448.0,446.2,539.4,489.6,21.5,7.0,6459.0,, Cool White,0.0054,0.00022602417193482,70.3570390689334,69,73,74.2,72.3,70.4,63.8,79,61.2,-28.5,34.5,70.2,40.1,68.7,85.3,N/A,N/A,
16,11/28/2016 1:24:00 PM,2.701E00,8.557E02,1.701E03,0.3133,0.3300,0.1979,0.3126,0.0033,0.1979,0.4689,448.0,446.2,539.4,489.5,21.4,7.0,6459.0,, Cool White,0.0054,0.000186189215640014,70.3643140021791,69,73,74.2,72.3,70.4,63.8,79,61.2,-28.7,34.6,70.2,40.1,68.7,85.4,N/A,N/A,
17,11/28/2016 1:24:01 PM,2.673E00,8.504E02,1.690E03,0.3134,0.3301,0.1979,0.3127,0.0033,0.1979,0.4690,448.1,446.2,538.7,489.7,21.4,6.9,6453.0,, Cool White,0.0054,0.000241880106894818,70.3247337360503,68.9,73,74.2,72.3,70.3,63.8,79,61.1,-29,34.5,70.1,40.1,68.7,85.4,N/A,N/A,
18,11/28/2016 1:24:01 PM,2.695E00,8.536E02,1.698E03,0.3133,0.3300,0.1979,0.3126,0.0033,0.1979,0.4690,448.0,446.2,539.5,489.6,21.4,7.0,6459.0,, Cool White,0.0054,0.000221177890234381,70.3684626380985,69,73,74.2,72.3,70.4,63.8,79,61.2,-28.7,34.6,70.1,40.2,68.7,85.4,N/A,N/A,
19,11/28/2016 1:24:02 PM,2.670E00,8.485E02,1.687E03,0.3134,0.3302,0.1979,0.3127,0.0033,0.1979,0.4690,448.0,446.2,539.0,489.7,21.5,6.9,6454.0,, Cool White,0.0054,0.000250297927371643,70.3561618716515,69,73,74.2,72.3,70.3,63.8,79,61.1,-28.8,34.6,70.1,40.1,68.7,85.4,N/A,N/A,
20,11/28/2016 1:24:03 PM,2.682E00,8.500E02,1.691E03,0.3132,0.3299,0.1979,0.3126,0.0033,0.1979,0.4689,448.0,446.2,539.2,489.5,21.5,7.0,6464.0,, Cool White,0.0054,0.000213326978181464,70.3896336708036,69,73.1,74.2,72.3,70.4,63.9,79,61.2,-28.6,34.7,70.1,40.2,68.7,85.4,N/A,N/A,
21,11/28/2016 1:24:04 PM,2.691E00,8.527E02,1.697E03,0.3133,0.3299,0.1979,0.3126,0.0033,0.1979,0.4689,448.1,446.2,539.3,489.5,21.6,7.0,6463.0,, Cool White,0.0054,0.000199766854027685,70.4024568658651,69,73.1,74.3,72.4,70.4,63.9,79.1,61.2,-28.5,34.7,70.1,40.2,68.7,85.4,N/A,N/A,
22,11/28/2016 1:24:05 PM,2.674E00,8.472E02,1.686E03,0.3133,0.3300,0.1979,0.3126,0.0033,0.1979,0.4689,448.1,446.2,539.4,489.6,21.5,7.0,6461.0,, Cool White,0.0054,0.000218135147520794,70.4090035124095,69,73.1,74.3,72.4,70.4,63.9,79.1,61.2,-28.5,34.7,70.1,40.2,68.7,85.4,N/A,N/A,
23,11/28/2016 1:24:05 PM,2.677E00,8.489E02,1.690E03,0.3133,0.3299,0.1979,0.3126,0.0033,0.1979,0.4689,448.1,446.2,539.3,489.5,21.5,7.0,6462.0,, Cool White,0.0054,0.000206455785224162,70.414098267436,69,73.1,74.3,72.4,70.4,63.9,79.1,61.2,-28.6,34.8,70.1,40.2,68.7,85.4,N/A,N/A,
24,11/28/2016 1:24:06 PM,2.683E00,8.500E02,1.692E03,0.3132,0.3299,0.1979,0.3126,0.0033,0.1979,0.4689,448.1,446.2,539.4,489.5,21.5,7.0,6464.0,, Cool White,0.0054,0.000203214221678704,70.4295325268603,69,73.1,74.3,72.4,70.4,63.9,79.1,61.3,-28.4,34.7,70.1,40.2,68.8,85.4,N/A,N/A,
25,11/28/2016 1:24:07 PM,2.669E00,8.458E02,1.684E03,0.3133,0.3299,0.1979,0.3126,0.0033,0.1979,0.4689,448.1,446.3,539.2,489.6,21.5,7.0,6463.0,, Cool White,0.0054,0.000221344986825437,70.4383623293238,69,73.1,74.3,72.4,70.4,63.9,79.1,61.2,-28.5,34.8,70.1,40.2,68.8,85.4,N/A,N/A,
26,11/28/2016 1:24:08 PM,2.674E00,8.470E02,1.686E03,0.3132,0.3298,0.1979,0.3126,0.0033,0.1979,0.4688,448.0,446.2,539.4,489.5,21.6,7.0,6464.0,, Cool White,0.0054,0.000163650658626678,70.4542423939248,69.1,73.1,74.3,72.4,70.4,63.9,79.1,61.2,-28.4,34.8,70.1,40.3,68.8,85.4,N/A,N/A,
27,11/28/2016 1:24:08 PM,2.673E00,8.475E02,1.688E03,0.3132,0.3298,0.1979,0.3126,0.0033,0.1979,0.4688,448.1,446.3,539.0,489.5,21.6,7.0,6467.0,, Cool White,0.0054,0.000195708543465133,70.4680736733356,69.1,73.2,74.4,72.4,70.4,64,79.1,61.2,-28.4,34.9,70.2,40.3,68.8,85.5,N/A,N/A,
28,11/28/2016 1:24:09 PM,2.663E00,8.443E02,1.681E03,0.3133,0.3299,0.1979,0.3126,0.0033,0.1979,0.4689,448.1,446.3,539.2,489.5,21.6,7.0,6463.0,, Cool White,0.0054,0.000183116175322755,70.4925201713417,69.1,73.2,74.4,72.4,70.4,64,79.2,61.3,-28.3,34.9,70.2,40.3,68.8,85.5,N/A,N/A,
29,11/28/2016 1:24:10 PM,2.661E00,8.455E02,1.684E03,0.3132,0.3299,0.1979,0.3126,0.0033,0.1979,0.4689,448.2,446.3,538.6,489.5,21.7,7.0,6464.0,, Cool White,0.0054,0.000204942810943492,70.4511764388137,69,73.1,74.3,72.4,70.4,63.9,79.2,61.2,-28.5,34.8,70.1,40.2,68.8,85.4,N/A,N/A,
30,11/28/2016 1:24:11 PM,2.654E00,8.406E02,1.674E03,0.3133,0.3300,0.1979,0.3126,0.0033,0.1979,0.4689,448.1,446.3,539.4,489.6,21.7,7.0,6460.0,, Cool White,0.0054,0.000217123868603106,70.5047856232947,69.1,73.2,74.4,72.4,70.4,64,79.2,61.3,-28.3,35,70.2,40.3,68.8,85.5,N/A,N/A,
31,11/28/2016 1:24:11 PM,2.655E00,8.418E02,1.677E03,0.3132,0.3300,0.1978,0.3126,0.0034,0.1978,0.4689,448.1,446.3,539.2,489.6,21.7,7.0,6463.0,, Cool White,0.0054,0.000263793162372191,70.4681031975822,69,73.2,74.4,72.4,70.4,64,79.2,61.2,-28.5,34.9,70.1,40.3,68.8,85.5,N/A,N/A,
32,11/28/2016 1:24:12 PM,2.652E00,8.427E02,1.679E03,0.3132,0.3300,0.1978,0.3126,0.0033,0.1978,0.4689,448.1,446.3,538.8,489.6,21.7,7.0,6463.0,, Cool White,0.0054,0.000251602349681773,70.4911779672624,69,73.2,74.4,72.4,70.4,64,79.2,61.3,-28.4,34.9,70.1,40.3,68.8,85.5,N/A,N/A,
33,11/28/2016 1:24:13 PM,2.641E00,8.374E02,1.668E03,0.3132,0.3299,0.1978,0.3126,0.0033,0.1978,0.4689,448.2,446.4,539.1,489.5,21.7,7.0,6466.0,, Cool White,0.0054,0.000220191600865476,70.498365523881,69.1,73.2,74.4,72.4,70.4,64,79.2,61.3,-28.3,35,70.1,40.3,68.8,85.5,N/A,N/A,
34,11/28/2016 1:24:14 PM,2.646E00,8.389E02,1.671E03,0.3133,0.3300,0.1979,0.3126,0.0033,0.1979,0.4689,448.2,446.4,539.2,489.6,21.8,7.0,6461.0,, Cool White,0.0054,0.000234505307087977,70.5228095376034,69.1,73.2,74.5,72.4,70.4,64.1,79.2,61.2,-28.4,35,70.1,40.3,68.9,85.5,N/A,N/A,
35,11/28/2016 1:24:15 PM,2.652E00,8.400E02,1.675E03,0.3132,0.3298,0.1978,0.3126,0.0033,0.1978,0.4688,448.2,446.4,539.2,489.5,21.8,7.1,6469.0,, Cool White,0.0054,0.00021473608122247,70.548403937597,69.1,73.2,74.4,72.5,70.5,64.1,79.2,61.4,-28.1,35,70.2,40.4,68.9,85.5,N/A,N/A,
36,11/28/2016 1:24:15 PM,2.629E00,8.348E02,1.663E03,0.3133,0.3300,0.1978,0.3126,0.0034,0.1978,0.4690,448.1,446.4,538.9,489.6,21.8,7.0,6462.0,, Cool White,0.0054,0.000257658397959649,70.5072256090292,69,73.2,74.5,72.4,70.4,64,79.2,61.2,-28.5,35,70.1,40.3,68.8,85.5,N/A,N/A,
37,11/28/2016 1:24:16 PM,2.634E00,8.357E02,1.665E03,0.3132,0.3300,0.1978,0.3126,0.0034,0.1978,0.4689,448.2,446.4,539.0,489.6,21.8,7.0,6465.0,, Cool White,0.0054,0.000255067770420924,70.5201360717906,69.1,73.2,74.5,72.4,70.4,64,79.2,61.3,-28.4,35,70.1,40.3,68.8,85.5,N/A,N/A,
38,11/28/2016 1:24:17 PM,2.649E00,8.372E02,1.669E03,0.3132,0.3299,0.1978,0.3126,0.0033,0.1978,0.4689,448.3,446.4,539.6,489.5,21.9,7.0,6466.0,, Cool White,0.0054,0.000228549281319282,70.5404519766629,69.1,73.2,74.5,72.4,70.4,64.1,79.3,61.3,-28.2,35.1,70.1,40.4,68.9,85.5,N/A,N/A,
39,11/28/2016 1:24:18 PM,2.627E00,8.315E02,1.658E03,0.3132,0.3300,0.1978,0.3126,0.0034,0.1978,0.4689,448.2,446.4,539.6,489.6,21.9,7.0,6466.0,, Cool White,0.0054,0.000286123966518472,70.5488277483935,69.1,73.2,74.5,72.4,70.4,64.1,79.3,61.3,-28.2,35.1,70.1,40.3,68.9,85.5,N/A,N/A,
40,11/28/2016 1:24:18 PM,2.625E00,8.319E02,1.659E03,0.3131,0.3299,0.1978,0.3126,0.0034,0.1978,0.4689,448.2,446.4,539.2,489.6,21.9,7.0,6469.0,, Cool White,0.0054,0.000267820443088404,70.5385348239437,69.1,73.3,74.5,72.4,70.4,64.1,79.3,61.3,-28.3,35.1,70.1,40.3,68.9,85.5,N/A,N/A,
41,11/28/2016 1:24:19 PM,2.630E00,8.331E02,1.662E03,0.3131,0.3299,0.1978,0.3126,0.0034,0.1978,0.4688,448.3,446.4,539.2,489.5,21.9,7.1,6471.0,, Cool White,0.0054,0.000255237127199273,70.5534988807002,69.1,73.3,74.5,72.4,70.4,64.1,79.3,61.3,-28.3,35.1,70.1,40.4,68.9,85.5,N/A,N/A,
42,11/28/2016 1:24:20 PM,2.608E00,8.281E02,1.651E03,0.3132,0.3300,0.1978,0.3126,0.0034,0.1978,0.4689,448.3,446.4,538.9,489.6,21.9,7.0,6467.0,, Cool White,0.0054,0.000273283325205132,70.5421034692619,69.1,73.3,74.5,72.4,70.4,64.1,79.3,61.3,-28.4,35.1,70.1,40.3,68.9,85.5,N/A,N/A,
43,11/28/2016 1:24:21 PM,2.620E00,8.295E02,1.654E03,0.3132,0.3300,0.1978,0.3126,0.0034,0.1978,0.4689,448.2,446.5,539.4,489.6,22.0,7.0,6466.0,, Cool White,0.0054,0.000270338778504011,70.592658352393,69.1,73.3,74.5,72.5,70.5,64.1,79.3,61.3,-28.2,35.2,70.1,40.4,68.9,85.6,N/A,N/A,
44,11/28/2016 1:24:21 PM,2.611E00,8.295E02,1.655E03,0.3131,0.3299,0.1978,0.3126,0.0034,0.1978,0.4689,448.3,446.4,538.6,489.6,22.0,7.1,6470.0,, Cool White,0.0054,0.000274855363497858,70.5593430501959,69.1,73.3,74.5,72.4,70.4,64.1,79.3,61.3,-28.3,35.1,70.1,40.4,68.9,85.5,N/A,N/A,
45,11/28/2016 1:24:22 PM,2.624E00,8.301E02,1.656E03,0.3132,0.3300,0.1978,0.3126,0.0034,0.1978,0.4689,448.3,446.4,539.6,489.6,22.0,7.0,6468.0,, Cool White,0.0054,0.000276809673278317,70.5841431157332,69.1,73.3,74.6,72.5,70.5,64.1,79.3,61.3,-28.1,35.2,70.1,40.4,68.9,85.6,N/A,N/A,
46,11/28/2016 1:24:23 PM,2.628E00,8.307E02,1.658E03,0.3130,0.3298,0.1978,0.3125,0.0034,0.1978,0.4688,448.3,446.5,539.5,489.5,22.0,7.1,6476.0,, Cool White,0.0054,0.000250740534026304,70.6067605111738,69.1,73.3,74.6,72.5,70.5,64.2,79.3,61.3,-28.1,35.2,70.1,40.5,68.9,85.6,N/A,N/A,
47,11/28/2016 1:24:24 PM,2.630E00,8.318E02,1.660E03,0.3131,0.3298,0.1978,0.3125,0.0033,0.1978,0.4688,448.3,446.5,539.4,489.5,21.9,7.1,6472.0,, Cool White,0.0054,0.000204559288787154,70.6345883794957,69.2,73.4,74.6,72.5,70.5,64.2,79.4,61.4,-27.9,35.3,70.2,40.5,69,85.6,N/A,N/A,
48,11/28/2016 1:24:25 PM,2.618E00,8.276E02,1.652E03,0.3131,0.3299,0.1978,0.3126,0.0033,0.1978,0.4688,448.3,446.5,539.6,489.5,22.1,7.1,6470.0,, Cool White,0.0054,0.000238673190571255,70.6231360811239,69.2,73.4,74.6,72.5,70.5,64.2,79.4,61.3,-28.1,35.3,70.1,40.4,69,85.6,N/A,N/A,
49,11/28/2016 1:24:25 PM,2.617E00,8.277E02,1.652E03,0.3131,0.3299,0.1978,0.3126,0.0033,0.1978,0.4688,448.3,446.5,539.4,489.5,22.0,7.1,6470.0,, Cool White,0.0054,0.000233880956530883,70.6494357356562,69.2,73.4,74.6,72.5,70.5,64.2,79.4,61.4,-28,35.3,70.2,40.5,69,85.6,N/A,N/A,
50,11/28/2016 1:24:26 PM,2.619E00,8.286E02,1.654E03,0.3131,0.3298,0.1978,0.3125,0.0033,0.1978,0.4688,448.3,446.5,539.5,489.5,22.0,7.1,6474.0,, Cool White,0.0054,0.000235590850603813,70.6290960828869,69.2,73.4,74.6,72.5,70.5,64.2,79.4,61.4,-28,35.3,70.1,40.5,68.9,85.6,N/A,N/A,
51,11/28/2016 1:24:27 PM,2.602E00,8.234E02,1.644E03,0.3131,0.3298,0.1978,0.3125,0.0033,0.1978,0.4688,448.3,446.5,539.4,489.5,22.1,7.1,6474.0,, Cool White,0.0054,0.000242695326237139,70.6331684086068,69.2,73.4,74.6,72.5,70.5,64.2,79.4,61.4,-28,35.3,70.1,40.4,69,85.6,N/A,N/A,
52,11/28/2016 1:24:28 PM,2.599E00,8.236E02,1.644E03,0.3130,0.3299,0.1977,0.3126,0.0034,0.1977,0.4688,448.3,446.5,539.1,489.5,22.1,7.1,6475.0,, Cool White,0.0054,0.000297669208532919,70.5955974041632,69.1,73.3,74.6,72.5,70.4,64.1,79.4,61.3,-28.2,35.2,70,40.4,68.9,85.6,N/A,N/A,
53,11/28/2016 1:24:28 PM,2.598E00,8.241E02,1.645E03,0.3130,0.3299,0.1977,0.3126,0.0034,0.1977,0.4688,448.2,446.5,539.0,489.5,22.1,7.1,6475.0,, Cool White,0.0054,0.000286964975531324,70.6224036609481,69.1,73.4,74.6,72.5,70.5,64.2,79.4,61.3,-28.2,35.3,70.1,40.4,68.9,85.6,N/A,N/A,
54,11/28/2016 1:24:29 PM,2.608E00,8.249E02,1.648E03,0.3130,0.3297,0.1978,0.3125,0.0033,0.1978,0.4687,448.3,446.5,539.3,489.4,22.2,7.1,6478.0,, Cool White,0.0054,0.000218726174752812,70.6633704561438,69.2,73.4,74.6,72.5,70.5,64.2,79.4,61.4,-27.9,35.4,70.1,40.5,69,85.6,N/A,N/A,
55,11/28/2016 1:24:30 PM,2.609E00,8.258E02,1.649E03,0.3131,0.3298,0.1978,0.3125,0.0033,0.1978,0.4688,448.3,446.5,539.3,489.5,22.2,7.1,6474.0,, Cool White,0.0054,0.000227385197885448,70.6570951408408,69.2,73.4,74.6,72.5,70.5,64.2,79.4,61.4,-28,35.4,70.1,40.5,69,85.6,N/A,N/A,
56,11/28/2016 1:24:31 PM,2.619E00,8.267E02,1.651E03,0.3130,0.3297,0.1978,0.3125,0.0033,0.1978,0.4687,448.3,446.6,539.7,489.4,22.2,7.1,6477.0,, Cool White,0.0054,0.000206312462133565,70.7151128135814,69.3,73.4,74.6,72.6,70.6,64.3,79.5,61.5,-27.7,35.5,70.2,40.6,69.1,85.6,N/A,N/A,
57,11/28/2016 1:24:31 PM,2.610E00,8.245E02,1.647E03,0.3130,0.3297,0.1978,0.3125,0.0033,0.1978,0.4687,448.4,446.6,539.5,489.4,22.2,7.1,6480.0,, Cool White,0.0054,0.000212365171440909,70.6862159879237,69.2,73.4,74.7,72.6,70.5,64.2,79.5,61.4,-27.9,35.4,70.1,40.5,69,85.6,N/A,N/A,
58,11/28/2016 1:24:32 PM,2.594E00,8.213E02,1.641E03,0.3130,0.3297,0.1978,0.3125,0.0033,0.1978,0.4688,448.4,446.6,539.2,489.4,22.2,7.1,6478.0,, Cool White,0.0054,0.000241451312715839,70.6963596501619,69.2,73.4,74.7,72.6,70.5,64.3,79.5,61.4,-28,35.5,70.2,40.6,69,85.6,N/A,N/A,
59,11/28/2016 1:24:33 PM,2.601E00,8.226E02,1.644E03,0.3129,0.3297,0.1977,0.3125,0.0034,0.1977,0.4687,448.4,446.6,539.3,489.4,22.2,7.2,6485.0,, Cool White,0.0054,0.00029271298304094,70.6474375608308,69.1,73.4,74.6,72.5,70.5,64.2,79.4,61.4,-28.1,35.4,70.1,40.5,69,85.6,N/A,N/A,
60,11/28/2016 1:24:34 PM,2.587E00,8.201E02,1.639E03,0.3130,0.3298,0.1977,0.3125,0.0034,0.1977,0.4688,448.4,446.6,538.9,489.5,22.3,7.1,6480.0,, Cool White,0.0054,0.000276305290871112,70.6918729555101,69.2,73.4,74.7,72.6,70.5,64.3,79.5,61.4,-28,35.5,70.1,40.5,69,85.6,N/A,N/A,
61,11/28/2016 1:24:35 PM,2.583E00,8.172E02,1.633E03,0.3130,0.3298,0.1977,0.3125,0.0034,0.1977,0.4688,448.4,446.6,539.3,489.5,22.3,7.1,6477.0,, Cool White,0.0054,0.000272032173542334,70.6901475823374,69.2,73.4,74.7,72.5,70.5,64.3,79.5,61.4,-28,35.5,70.1,40.5,69,85.6,N/A,N/A,
62,11/28/2016 1:24:35 PM,2.586E00,8.182E02,1.635E03,0.3130,0.3298,0.1978,0.3125,0.0033,0.1978,0.4688,448.4,446.6,539.2,489.5,22.3,7.1,6477.0,, Cool White,0.0054,0.000244004797774095,70.7283878044897,69.2,73.5,74.7,72.6,70.6,64.3,79.5,61.4,-27.8,35.5,70.2,40.6,69.1,85.6,N/A,N/A,
63,11/28/2016 1:24:36 PM,2.587E00,8.183E02,1.635E03,0.3130,0.3297,0.1978,0.3125,0.0033,0.1978,0.4688,448.4,446.6,539.3,489.4,22.3,7.1,6479.0,, Cool White,0.0054,0.0002455745862088,70.7049334260371,69.2,73.4,74.7,72.6,70.5,64.3,79.5,61.4,-27.9,35.5,70.1,40.5,69,85.6,N/A,N/A,
64,11/28/2016 1:24:37 PM,2.586E00,8.188E02,1.637E03,0.3130,0.3297,0.1977,0.3125,0.0034,0.1977,0.4687,448.4,446.7,539.2,489.4,22.3,7.1,6481.0,, Cool White,0.0054,0.000253154914582916,70.6923689411748,69.2,73.4,74.7,72.5,70.5,64.3,79.5,61.4,-28.1,35.5,70.1,40.5,69,85.7,N/A,N/A,
65,11/28/2016 1:24:38 PM,2.587E00,8.193E02,1.638E03,0.3129,0.3297,0.1977,0.3125,0.0034,0.1977,0.4687,448.3,446.6,539.0,489.4,22.3,7.1,6483.0,, Cool White,0.0054,0.000264413928270393,70.7044178822443,69.2,73.5,74.7,72.6,70.5,64.3,79.5,61.4,-27.9,35.5,70.1,40.5,69,85.6,N/A,N/A,
66,11/28/2016 1:24:38 PM,2.598E00,8.204E02,1.641E03,0.3129,0.3295,0.1978,0.3124,0.0033,0.1978,0.4686,448.4,446.6,539.4,489.3,22.4,7.2,6485.0,, Cool White,0.0054,0.000184233283740708,70.7688241667957,69.3,73.5,74.7,72.6,70.6,64.3,79.5,61.5,-27.5,35.6,70.2,40.6,69.1,85.6,N/A,N/A,
67,11/28/2016 1:24:39 PM,2.580E00,8.153E02,1.631E03,0.3129,0.3297,0.1977,0.3125,0.0034,0.1977,0.4687,448.3,446.7,539.5,489.4,22.4,7.1,6482.0,, Cool White,0.0054,0.000262439788600418,70.7558666150029,69.2,73.5,74.8,72.6,70.6,64.4,79.6,61.4,-27.8,35.6,70.1,40.6,69.1,85.7,N/A,N/A,
68,11/28/2016 1:24:40 PM,2.571E00,8.150E02,1.630E03,0.3129,0.3297,0.1977,0.3125,0.0034,0.1977,0.4688,448.4,446.7,538.8,489.5,22.3,7.1,6482.0,, Cool White,0.0054,0.000279226927214433,70.7376368792985,69.2,73.5,74.7,72.6,70.6,64.3,79.5,61.4,-27.9,35.6,70.1,40.6,69.1,85.7,N/A,N/A,
69,11/28/2016 1:24:41 PM,2.581E00,8.160E02,1.632E03,0.3129,0.3296,0.1978,0.3124,0.0033,0.1978,0.4687,448.3,446.7,539.3,489.3,22.4,7.1,6483.0,, Cool White,0.0054,0.00018721390709406,70.7454520464819,69.2,73.5,74.7,72.6,70.6,64.3,79.5,61.5,-27.8,35.6,70.1,40.6,69.1,85.7,N/A,N/A,
70,11/28/2016 1:24:41 PM,2.588E00,8.162E02,1.633E03,0.3129,0.3295,0.1978,0.3124,0.0033,0.1978,0.4686,448.4,446.7,539.6,489.3,22.3,7.2,6485.0,, Cool White,0.0054,0.000183695805800882,70.801143451012,69.3,73.5,74.7,72.7,70.6,64.4,79.6,61.6,-27.4,35.7,70.2,40.7,69.1,85.7,N/A,N/A,
